zip,population,city,county,state
30552,1640,Lakemont,Rabun,GA
31022,1630,Dudley,Laurens,GA
31070,1590,Pinehurst,Dooly,GA
30631,1585,Crawfordville,Taliaferro,GA
31017,1579,Danville,Twiggs,GA
31638,1573,Morven,Brooks,GA
30413,1547,Bartow,Jefferson,GA
30619,1543,Arnoldsville,Oglethorpe,GA
30537,1539,Dillard,Rabun,GA
30568,1531,Rabun Gap,Rabun,GA
30660,1515,Rayle,Wilkes,GA
30575,1512,Talmo,Jackson,GA
31824,1507,Preston,Webster,GA
30234,1480,Jenkinsburg,Butts,GA
30452,1477,Register,Bulloch,GA
30446,1466,Newington,Screven,GA
31796,1462,Warwick,Worth,GA
31042,1445,Irwinton,Wilkinson,GA
31733,1435,Chula,Tift,GA
30522,1430,Cherrylog,Gilmer,GA
31787,1418,Smithville,Lee,GA
30678,1390,White Plains,Greene,GA
31020,1382,Dry Branch,Twiggs,GA
31314,1378,Fort Stewart,Liberty,GA
30823,1349,Stapleton,Jefferson,GA
31625,1335,Barney,Brooks,GA
31624,1329,Axson,Atkinson,GA
30541,1326,Epworth,Fannin,GA
30425,1316,Garfield,Emanuel,GA
31009,1312,Cadwell,Laurens,GA
31025,1312,Elko,Houston,GA
31323,1295,Riceboro,Liberty,GA
31054,1294,Mc Intyre,Wilkinson,GA
30420,1278,Cobbtown,Tattnall,GA
31307,1275,Eden,Effingham,GA
31066,1257,Musella,Crawford,GA
31090,1256,Toomsboro,Wilkinson,GA
31829,1251,Upatoi,Muscogee,GA
31547,1219,Kings Bay,Camden,GA
31065,1210,Montrose,Laurens,GA
31783,1208,Rebecca,Turner,GA
31563,1183,Surrency,Appling,GA
31649,1166,Stockton,Lanier,GA
31035,1130,Harrison,Washington,GA
31527,1116,Jekyll Island,Glynn,GA
30562,1113,Mountain City,Rabun,GA
31712,1109,Arabi,Crisp,GA
31207,1074,Macon,Bibb,GA
31629,1070,Dixie,Brooks,GA
30820,1068,Mitchell,Glascock,GA
31518,1064,Bristol,Pierce,GA
31072,1060,Pitts,Wilcox,GA
31756,1048,Hartsfield,Colquitt,GA
30803,1039,Avera,Jefferson,GA
31071,1035,Pineview,Wilcox,GA
31085,1035,Shady Dale,Jasper,GA
31836,993,Woodland,Talbot,GA
31789,968,Sumner,Worth,GA
31552,965,Millwood,Ware,GA
30545,949,Helen,White,GA
31007,941,Byromville,Dooly,GA
31567,921,West Green,Coffee,GA
31784,892,Sale City,Mitchell,GA
31041,888,Ideal,Macon,GA
31551,884,Mershon,Pierce,GA
30336,876,Atlanta,Fulton,GA
31409,873,Savannah,Chatham,GA
31050,868,Knoxville,Crawford,GA
30667,851,Stephens,Oglethorpe,GA
30572,844,Suches,Union,GA
31094,844,Warthen,Washington,GA
30426,831,Girard,Burke,GA
30821,825,Norwood,Warren,GA
31038,819,Hillsboro,Jasper,GA
31648,816,Statenville,Echols,GA
31798,812,Wray,Irwin,GA
30072,806,Pine Lake,Dekalb,GA
31698,770,Valdosta,Lowndes,GA
31550,762,Manor,Ware,GA
30746,762,Sugar Valley,Gordon,GA
31011,753,Chauncey,Dodge,GA
31711,751,Andersonville,Sumter,GA
31699,696,Valdosta,Lowndes,GA
31823,690,Pine Mountain Valley,Harris,GA
31812,682,Junction City,Talbot,GA
30285,682,The Rock,Upson,GA
30454,670,Rockledge,Laurens,GA
30250,667,Lovejoy,Clayton,GA
31630,656,Du Pont,Clinch,GA
30148,637,Marble Hill,Pickens,GA
30903,620,Augusta,Richmond,GA
31309,614,Fleming,Liberty,GA
30455,603,Rocky Ford,Screven,GA
31544,597,Jacksonville,Telfair,GA
31735,581,Cobb,Sumter,GA
31532,568,Denton,Jeff Davis,GA
31568,529,White Oak,Camden,GA
31772,522,Oakfield,Worth,GA
31631,493,Fargo,Clinch,GA
31722,492,Berlin,Colquitt,GA
31062,475,Milledgeville,Baldwin,GA
30818,468,Matthews,Jefferson,GA
30070,444,Porterdale,Newton,GA
30822,434,Perkins,Jenkins,GA
31083,433,Scotland,Telfair,GA
30812,403,Gracewood,Richmond,GA
31623,380,Argyle,Clinch,GA
31318,369,Meldrim,Effingham,GA
30423,350,Daisy,Evans,GA
31743,326,De Soto,Sumter,GA
30470,305,Tarrytown,Montgomery,GA
31720,285,Barwick,Brooks,GA
31067,266,Oconee,Washington,GA
31627,229,Cecil,Cook,GA
31821,227,Omaha,Stewart,GA
31832,222,Weston,Webster,GA
30573,218,Tallulah Falls,Rabun,GA
31051,209,Lilly,Dooly,GA
31810,206,Geneva,Talbot,GA
